cluster,recency,frequency,monetary,segment
0,387.1726120753913,1.0,114.07373895218825,Baixo Valor
1,127.82603478124017,1.0,113.3672224189487,Recente
2,237.22349177330895,1.013254113345521,1142.239597806216,Alta Receita
3,219.93619322278298,2.114275414563807,243.16124369142034,Alta Frequência
